"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"utils","utils","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","4.3.3","base",NA,NA,NA,"methods, xml2, commonmark, knitr",NA,"Part of R 4.3.3",NA,NA,NA,NA,"yes","4.3.3"
"uuid","uuid","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","1.2-1",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"uwot","uwot","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","0.2.2",NA,"Matrix","FNN, irlba, methods, Rcpp, RcppAnnoy (>= 0.0.17), RSpectra","dqrng, Rcpp, RcppAnnoy, RcppProgress","bigstatsr, covr, knitr, RcppHNSW, rmarkdown, rnndescent,
testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.3"
"vctrs","vctrs","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","0.6.5",NA,"R (>= 3.5.0)","cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.1.0)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), waldo (>= 0.2.0), withr, xml2,
zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"viridisLite","viridisLite","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","0.4.2",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"vroom","vroom","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","1.6.5",NA,"R (>= 3.6)","bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle (>=
1.0.3), methods, rlang (>= 0.4.2), stats, tibble (>= 2.0.0),
tidyselect, tzdb (>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.1), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"warp","warp","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","0.2.1",NA,"R (>= 3.2)",NA,NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"withr","withr","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","3.0.2",NA,"R (>= 3.6.0)","graphics, grDevices",NA,"callr, DBI, knitr, methods, rlang, rmarkdown (>= 2.12),
RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"workflows","workflows","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","1.1.4",NA,"R (>= 3.6)","cli (>= 3.3.0), generics (>= 0.1.2), glue (>= 1.6.2), hardhat
(>= 1.2.0), lifecycle (>= 1.0.3), modelenv (>= 0.1.0), parsnip
(>= 1.2.0), rlang (>= 1.0.3), tidyselect (>= 1.2.0), vctrs (>=
0.4.1)",NA,"butcher (>= 0.2.0), covr, dials (>= 1.0.0), knitr, magrittr,
modeldata (>= 1.0.0), recipes (>= 1.0.0), rmarkdown, testthat
(>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"workflowsets","workflowsets","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","1.1.0",NA,"R (>= 3.6)","cli, dplyr (>= 1.0.0), generics (>= 0.1.2), ggplot2, glue,
hardhat (>= 1.2.0), lifecycle (>= 1.0.0), parsnip (>= 1.2.0),
pillar (>= 1.7.0), prettyunits, purrr, rlang (>= 1.1.0),
rsample (>= 0.0.9), stats, tibble (>= 3.1.0), tidyr, tune (>=
1.2.0), vctrs, withr, workflows (>= 1.1.4)",NA,"covr, dials (>= 0.1.0), finetune, kknn, knitr, modeldata,
recipes (>= 1.0.0), rmarkdown, spelling, testthat (>= 3.0.0),
tidyclust, yardstick (>= 1.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"writexl","writexl","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","1.5.1",NA,NA,NA,NA,"spelling, readxl, nycflights13, testthat, bit64",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"xfun","xfun","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","0.49",NA,"R (>= 3.2.0)","grDevices, stats, tools",NA,"testit, parallel, codetools, methods, rstudioapi, tinytex (>=
0.30), mime, litedown, commonmark, knitr (>= 1.47), remotes,
pak, rhub, renv, curl, xml2, jsonlite, magick, yaml, qs,
rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"xml2","xml2","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","1.3.6",NA,"R (>= 3.6.0)","cli, methods, rlang (>= 1.1.0)",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"yaml","yaml","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","2.3.10",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"yardstick","yardstick","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","1.3.1",NA,"R (>= 3.6.0)","cli, dplyr (>= 1.1.0), generics (>= 0.1.2), hardhat (>=
1.3.0), lifecycle (>= 1.0.3), rlang (>= 1.1.0), tibble,
tidyselect (>= 1.2.0), utils, vctrs (>= 0.5.0), withr",NA,"covr, crayon, ggplot2, knitr, probably (>= 1.0.0), rmarkdown,
survival (>= 3.5-0), testthat (>= 3.0.0), tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"zip","zip","C:/Users/JR13/Documents/LOCAL_NOT_ONEDRIVE/lucinda-flow-cytometry/scripts/R-4.3.3/library","2.3.1",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
